fleet_id,vehicle,fuel_type,fuel_liters,dist_km,mpg,year,km_per_liter,litros_teoricos,co2_kg,vehicle_cat
1256,SMALL VAN,D,128.44,1364.72032,30.01,2013,10.625352849579569,128.44,344.2192,Van
1261,SMALL VAN,D,78.29,793.40462,28.62,2013,10.134175756801634,78.29,209.81720000000004,Van
1263,SMALL VAN,D,1329.31,16479.6416,35.01,2013,12.397139568648397,1329.31,3562.5508,Van
1258,SMALL VAN,D,736.89,10668.31486,40.89,2013,14.47748627339223,736.89,1974.8652000000002,Van
1267,SMALL VAN,D,843.95,10454.27264,34.99,2013,12.387312802891165,843.95,2261.786,Van
1257,SMALL VAN,D,1728.01,24061.24234,39.33,2013,13.924249477722931,1728.01,4631.0668000000005,Van
1265,SMALL VAN,D,476.07,9448.43514,56.06,2013,19.846735017959542,476.07,1275.8676,Van
1262,SMALL VAN,D,961.3,12704.12996,37.33,2013,13.215572620409862,961.3,2576.284,Van
1266,SMALL VAN,D,587.91,8146.47908,39.14,2013,13.8566771784797,587.91,1575.5988,Van
1274,SMALL VAN,D,1406.14,16935.08482,34.02,2013,12.043669065669135,1406.14,3768.4552000000003,Van
1275,SMALL VAN,D,569.68,7702.30124,38.19,2013,13.520399592753828,569.68,1526.7423999999999,Van
1277,SMALL VAN,D,273.65,3752.98088,38.74,2013,13.714529069979903,273.65,733.382,Van
1276,SMALL VAN,D,352.35,4173.01862,33.45,2013,11.843390435646374,352.35,944.2980000000001,Van
